month,in,out,total
2015-01,422,681,1103
2015-02,256,488,744
2015-03,804,1100,1904
2015-04,2342,2196,4538
2015-05,4179,3776,7955
2015-06,2962,3369,6331
2015-07,3987,3983,7970
2015-08,3648,3679,7327
2015-09,3894,3540,7434
2015-10,3322,2947,6269
2015-11,2146,2511,4657
2015-12,1635,1635,3270
2016-01,1169,787,1956
2016-02,1606,1112,2718
2016-03,1441,1973,3414
2016-04,2498,2946,5444
2016-05,2699,3823,6522
2016-06,4317,3158,7475
2016-07,4236,4242,8478
2016-08,3833,4270,8103
2016-09,4294,5314,9608
2016-10,4435,4434,8869
2016-11,3578,2890,6468
2016-12,1148,2158,3306
2017-01,1232,1336,2568
2017-02,1156,1824,2980
2017-03,1785,2380,4165
2017-04,3976,2732,6708
2017-05,3343,3916,7259
2017-06,3535,4684,8219
2017-07,4799,4811,9610
2017-08,4670,5328,9998
2017-09,5257,5303,10560
2017-10,5708,6208,11816
2017-11,3285,4511,7796
2017-12,2074,2009,4083
2018-01,2082,1326,3408
2018-02,2936,2231,5167
2018-03,2496,1531,4027
2018-04,4087,3293,7380
2018-05,5697,4920,10617
2018-06,5124,4621,9745
2018-07,6155,5836,11991
2018-08,6435,5421,11856
2018-09,7470,7230,14700
2018-10,6521,6087,12608
2018-11,4446,3593,8039
2018-12,2697,2346,5043